name;url;type
README.md;https://github.com/rladies/meetup-presentations_abuja/blob/master/README.md;file
.gitignore;https://github.com/rladies/meetup-presentations_adelaide/blob/master/.gitignore;file
README.md;https://github.com/rladies/meetup-presentations_adelaide/blob/master/README.md;file
.gitignore;https://github.com/rladies/meetup-presentations_ames/blob/master/.gitignore;file
.gitmodules;https://github.com/rladies/meetup-presentations_ames/blob/master/.gitmodules;file
README.md;https://github.com/rladies/meetup-presentations_ames/blob/master/README.md;file
WebscrapingTidyverse;https://github.com/rladies-ames/WebscrapingTidyverse/tree/f6adc80bde205532f9744dff78a57b8d797aa990;file
git-ladies;https://github.com/rladies-ames/git-ladies/tree/ef4535617cae6b4ecea9de2f3520788e2e19d28a;file
magic-tidying-data;https://github.com/rladies-ames/magic-tidying-data/tree/6339454d192592036e0f49d54a3cf9b093c7e765;file
538-master;https://github.com/rladies/meetup-presentations_athens-ga/tree/master/538-master;dir
Data Visualization_byPaigeMiller538-master;https://github.com/rladies/meetup-presentations_athens-ga/tree/master/Data%20Visualization_byPaigeMiller538-master;dir
Intro to Dplyr_byNataliaAraujo.pdf;https://github.com/rladies/meetup-presentations_athens-ga/blob/master/Intro%20to%20Dplyr_byNataliaAraujo.pdf;file
MarkdownTutorial_byDorrisScott;https://github.com/rladies/meetup-presentations_athens-ga/tree/master/MarkdownTutorial_byDorrisScott;dir
README.md;https://github.com/rladies/meetup-presentations_athens-ga/blob/master/README.md;file
WritingConciseCode_byLisaLipani_.Rmd;https://github.com/rladies/meetup-presentations_athens-ga/blob/master/WritingConciseCode_byLisaLipani_.Rmd;file
.gitignore;https://github.com/rladies/meetup-presentations_auckland/blob/master/.gitignore;file
2017-12_R-Ladies_Auckland_Launch.pptx;https://github.com/rladies/meetup-presentations_auckland/blob/master/2017-12_R-Ladies_Auckland_Launch.pptx;file
2017-12_tidyverse-6-auckland.pdf;https://github.com/rladies/meetup-presentations_auckland/blob/master/2017-12_tidyverse-6-auckland.pdf;file
