repo;url
meetup-presentations_abuja;https://github.com/rladies/meetup-presentations_abuja
meetup-presentations_adelaide;https://github.com/rladies/meetup-presentations_adelaide
meetup-presentations_ames;https://github.com/rladies/meetup-presentations_ames
meetup-presentations_athens-ga;https://github.com/rladies/meetup-presentations_athens-ga
meetup-presentations_auckland;https://github.com/rladies/meetup-presentations_auckland
meetup-presentations_austin;https://github.com/rladies/meetup-presentations_austin
meetup-presentations_baltimore;https://github.com/rladies/meetup-presentations_baltimore
meetup-presentations_barcelona;https://github.com/rladies/meetup-presentations_barcelona
meetup-presentations_bari;https://github.com/rladies/meetup-presentations_bari
meetup-presentations_belohorizonte;https://github.com/rladies/meetup-presentations_belohorizonte
meetup-presentations_bergen;https://github.com/rladies/meetup-presentations_bergen
meetup-presentations_berlin;https://github.com/rladies/meetup-presentations_berlin
meetup-presentations_boston;https://github.com/rladies/meetup-presentations_boston
meetup-presentations_boulder;https://github.com/rladies/meetup-presentations_boulder
meetup-presentations_brisbane;https://github.com/rladies/meetup-presentations_brisbane
meetup-presentations_brussels;https://github.com/rladies/meetup-presentations_brussels
meetup-presentations_bucharest;https://github.com/rladies/meetup-presentations_bucharest
meetup-presentations_budapest;https://github.com/rladies/meetup-presentations_budapest
meetup-presentations_buenosaires;https://github.com/rladies/meetup-presentations_buenosaires
meetup-presentations_capetown;https://github.com/rladies/meetup-presentations_capetown
meetup-presentations_CDMX;https://github.com/rladies/meetup-presentations_CDMX
meetup-presentations_charlottesville;https://github.com/rladies/meetup-presentations_charlottesville
meetup-presentations_chennai;https://github.com/rladies/meetup-presentations_chennai
meetup-presentations_chicago;https://github.com/rladies/meetup-presentations_chicago
meetup-presentations_columbus;https://github.com/rladies/meetup-presentations_columbus
meetup-presentations_cordoba;https://github.com/rladies/meetup-presentations_cordoba
meetup-presentations_curitiba;https://github.com/rladies/meetup-presentations_curitiba
meetup-presentations_dc;https://github.com/rladies/meetup-presentations_dc
meetup-presentations_dublin;https://github.com/rladies/meetup-presentations_dublin
meetup-presentations_east-lansing;https://github.com/rladies/meetup-presentations_east-lansing
meetup-presentations_el-paso;https://github.com/rladies/meetup-presentations_el-paso
meetup-presentations_eskisehir;https://github.com/rladies/meetup-presentations_eskisehir
meetup-presentations_frankfurt;https://github.com/rladies/meetup-presentations_frankfurt
meetup-presentations_freiburg;https://github.com/rladies/meetup-presentations_freiburg
meetup-presentations_galapagos-islands;https://github.com/rladies/meetup-presentations_galapagos-islands
meetup-presentations_general-pico;https://github.com/rladies/meetup-presentations_general-pico
meetup-presentations_guayaquil;https://github.com/rladies/meetup-presentations_guayaquil
meetup-presentations_helsinki;https://github.com/rladies/meetup-presentations_helsinki
meetup-presentations_irvine;https://github.com/rladies/meetup-presentations_irvine
meetup-presentations_istanbul;https://github.com/rladies/meetup-presentations_istanbul
meetup-presentations_jakarta;https://github.com/rladies/meetup-presentations_jakarta
meetup-presentations_jozi;https://github.com/rladies/meetup-presentations_jozi
meetup-presentations_kansas-city;https://github.com/rladies/meetup-presentations_kansas-city
meetup-presentations_la;https://github.com/rladies/meetup-presentations_la
meetup-presentations_lancaster;https://github.com/rladies/meetup-presentations_lancaster
meetup-presentations_lausanne;https://github.com/rladies/meetup-presentations_lausanne
meetup-presentations_leuven;https://github.com/rladies/meetup-presentations_leuven
meetup-presentations_lima;https://github.com/rladies/meetup-presentations_lima
meetup-presentations_linz;https://github.com/rladies/meetup-presentations_linz
meetup-presentations_lisbon;https://github.com/rladies/meetup-presentations_lisbon
meetup-presentations_london;https://github.com/rladies/meetup-presentations_london
meetup-presentations_london_ontario;https://github.com/rladies/meetup-presentations_london_ontario
meetup-presentations_loughborough;https://github.com/rladies/meetup-presentations_loughborough
meetup-presentations_lyon;https://github.com/rladies/meetup-presentations_lyon
meetup-presentations_madrid;https://github.com/rladies/meetup-presentations_madrid
meetup-presentations_manchester;https://github.com/rladies/meetup-presentations_manchester
meetup-presentations_melbourne;https://github.com/rladies/meetup-presentations_melbourne
meetup-presentations_mendoza;https://github.com/rladies/meetup-presentations_mendoza
meetup-presentations_miami;https://github.com/rladies/meetup-presentations_miami
meetup-presentations_milan;https://github.com/rladies/meetup-presentations_milan
meetup-presentations_montenegro;https://github.com/rladies/meetup-presentations_montenegro
meetup-presentations_montevideo;https://github.com/rladies/meetup-presentations_montevideo
meetup-presentations_montreal;https://github.com/rladies/meetup-presentations_montreal
meetup-presentations_munich;https://github.com/rladies/meetup-presentations_munich
meetup-presentations_nashville;https://github.com/rladies/meetup-presentations_nashville
meetup-presentations_natal;https://github.com/rladies/meetup-presentations_natal
meetup-presentations_newcastle;https://github.com/rladies/meetup-presentations_newcastle
meetup-presentations_newyork;https://github.com/rladies/meetup-presentations_newyork
meetup-presentations_novi-sad;https://github.com/rladies/meetup-presentations_novi-sad
meetup-presentations_orlando;https://github.com/rladies/meetup-presentations_orlando
meetup-presentations_oslo;https://github.com/rladies/meetup-presentations_oslo
meetup-presentations_paris;https://github.com/rladies/meetup-presentations_paris
